Country,year,Population,CO2mt,CO2gask,CO2liquidk,CO2solidk,Methane,NO,HRC,PFC,SF6,Total,GlobTemp,Wheat,Corn,Soybean
Afghanistan,1990,12412311.0,0.191745115,403.37,1851.835,278.692,6739.999771,2840.0,3396.507111756169,685.9366715758468,988.284047267356,11970.0,0.6891666666666666,67.6,63.94375,152.15625
Africa Eastern and Southern,1990,304648010.0,0.999037816,190317.02940264525,74378.08165,410186.6514,320589.9967,189480.0,3396.507111756169,685.9366715758468,988.284047267356,807000.0,0.6891666666666666,67.6,63.94375,152.15625
Africa Western and Central,1990,204803865.0,0.478144282,9839.564314,49603.509,445828.9898274005,225170.0,75050.0,3396.507111756169,685.9366715758468,988.284047267356,398320.0,0.6891666666666666,67.6,63.94375,152.15625
Albania,1990,3286542.0,1.819541634,465.709,2174.531,2500.894,3539.999962,1560.0,0.0,0.0,0.0,11100.0,0.6891666666666666,67.6,63.94375,152.15625
Algeria,1990,25758872.0,2.443429976,38939.873,23223.111,2944.601,52650.00153,5070.0,0.0,0.0,326.0,120740.0,0.6891666666666666,67.6,63.94375,152.15625
American Samoa,1990,47351.0,4.218163030120241,190317.02940264525,318096.1204687234,445828.9898274005,312126.56362474285,112821.9537815126,3396.507111756169,685.9366715758468,988.284047267356,1454950.5142811427,0.6891666666666666,67.6,63.94375,152.15625
Andorra,1990,54508.0,7.521831658,0.0,407.037,0.0,19.99999955,0.0,3396.507111756169,685.9366715758468,988.284047267356,430.0,0.6891666666666666,67.6,63.94375,152.15625
Angola,1990,11848385.0,0.553661955,1012.092,2478.892,0.0,21219.99931,15370.0,0.0,0.0,0.0,43150.0,0.6891666666666666,67.6,63.94375,152.15625
Antigua and Barbuda,1990,62533.0,3.358226856,0.0,282.359,0.0,129.9999952,10.0,3396.507111756169,685.9366715758468,988.284047267356,350.0,0.6891666666666666,67.6,63.94375,152.15625
Argentina,1990,32618648.0,3.075541328,43248.598,59236.718,3072.946,109580.0018,35570.0,206.3,1940.6,149.6,247300.0,0.6891666666666666,67.6,63.94375,152.15625
Armenia,1990,3538164.0,5.610254358,190317.02940264525,318096.1204687234,445828.9898274005,3650.000095,910.0,0.0,0.0,0.0,24410.0,0.6891666666666666,67.6,63.94375,152.15625
Aruba,1990,62152.0,4.218163030120241,0.0,487.711,0.0,312126.56362474285,112821.9537815126,3396.507111756169,685.9366715758468,988.284047267356,1454950.5142811427,0.6891666666666666,67.6,63.94375,152.15625
Australia,1990,17065100.0,15.44848844,33875.746,82800.86,143001.999,138830.0018,78290.0,612.5,3875.2,385.1,487000.0,0.6891666666666666,67.6,63.94375,152.15625
Austria,1990,7677850.0,7.58936421,11994.757,27645.513,15713.095,11850.00038,4970.0,30.9,995.7,411.2,76610.0,0.6891666666666666,67.6,63.94375,152.15625
Azerbaijan,1990,7175200.0,7.453450775,190317.02940264525,318096.1204687234,445828.9898274005,19219.99931,2980.0,0.0,175.6,0.0,75680.0,0.6891666666666666,67.6,63.94375,152.15625
"Bahamas, The",1990,256227.0,7.649467074,0.0,1840.834,3.667,150.000006,20.0,3396.507111756169,685.9366715758468,988.284047267356,2140.0,0.6891666666666666,67.6,63.94375,152.15625
